Número del comprobante,Fecha,Descripción,Código de cuenta,Débito,Crédito,Detalle de la línea
CI-202606-0053,2026-06-07,Comisión 8% junio — Carrera 28 # 5-19 Apto 1003,240805,,22040,IVA 19 % sobre la comisión
CI-202606-0059,2026-06-07,Comisión 8% junio — Calle 39 # 85-82 Local 17,28150505,495040,,Descuento de comisión e IVA
CI-202606-0059,2026-06-07,Comisión 8% junio — Calle 39 # 85-82 Local 17,415510,,416000,Comisión de administración
CI-202606-0059,2026-06-07,Comisión 8% junio — Calle 39 # 85-82 Local 17,240805,,79040,IVA 19 % sobre la comisión
CI-202606-0060,2026-06-07,Comisión 8% junio — Diagonal 64B # 16-66 Apto 604,28150505,333200,,Descuento de comisión e IVA
CI-202606-0060,2026-06-07,Comisión 8% junio — Diagonal 64B # 16-66 Apto 604,415510,,280000,Comisión de administración
CI-202606-0060,2026-06-07,Comisión 8% junio — Diagonal 64B # 16-66 Apto 604,240805,,53200,IVA 19 % sobre la comisión
CI-202606-0075,2026-06-07,Comisión 8% junio — Carrera 52 # 95-89 Apto 104,28150505,218960,,Descuento de comisión e IVA
CI-202606-0075,2026-06-07,Comisión 8% junio — Carrera 52 # 95-89 Apto 104,415510,,184000,Comisión de administración
CI-202606-0075,2026-06-07,Comisión 8% junio — Carrera 52 # 95-89 Apto 104,240805,,34960,IVA 19 % sobre la comisión
CE-202606-0001,2026-06-07,Giro a propietario junio — Calle 75 # 57-31 Apto 802,28150505,2142960,,Giro a Luisa Fernanda
CE-202606-0001,2026-06-07,Giro a propietario junio — Calle 75 # 57-31 Apto 802,511580,8572,,GMF 4×1000
CE-202606-0001,2026-06-07,Giro a propietario junio — Calle 75 # 57-31 Apto 802,111005,,2151532,BANCO_CAJA_SOCIAL 67867534509
CE-202606-0002,2026-06-07,Giro a propietario junio — Carrera 39D # 12-92 Apto 1003,28150505,1409600,,Giro a Isabella Toro
CE-202606-0002,2026-06-07,Giro a propietario junio — Carrera 39D # 12-92 Apto 1003,511580,5638,,GMF 4×1000
CE-202606-0002,2026-06-07,Giro a propietario junio — Carrera 39D # 12-92 Apto 1003,111005,,1415238,BANCOLOMBIA 25680114194
CE-202606-0005,2026-06-07,Giro a propietario junio — Calle 51 # 27-72 Casa 1,28150505,3127550,,Giro a Nataly Ramírez
CE-202606-0005,2026-06-07,Giro a propietario junio — Calle 51 # 27-72 Casa 1,511580,12510,,GMF 4×1000
CE-202606-0005,2026-06-07,Giro a propietario junio — Calle 51 # 27-72 Casa 1,111005,,3140060,BANCOLOMBIA 65163145182
CE-202606-0006,2026-06-07,Giro a propietario junio — Carrera 29 # 35-73,28150505,1900080,,Giro a Gloria Inés
CE-202606-0006,2026-06-07,Giro a propietario junio — Carrera 29 # 35-73,511580,7600,,GMF 4×1000
CE-202606-0006,2026-06-07,Giro a propietario junio — Carrera 29 # 35-73,111005,,1907680,BANCOLOMBIA 65198980359
CE-202606-0009,2026-06-07,Giro a propietario junio — Carrera 4 # 70-54 Of. 1505,28150505,4052600,,Giro a Camila Echeverri
CE-202606-0009,2026-06-07,Giro a propietario junio — Carrera 4 # 70-54 Of. 1505,511580,16210,,GMF 4×1000
CE-202606-0009,2026-06-07,Giro a propietario junio — Carrera 4 # 70-54 Of. 1505,111005,,4068810,BANCOLOMBIA 65160484045
CE-202606-0010,2026-06-07,Giro a propietario junio — Calle 135 # 58-45 Apto 1103,28150505,3612100,,Giro a Luis Alberto
CE-202606-0010,2026-06-07,Giro a propietario junio — Calle 135 # 58-45 Apto 1103,511580,14448,,GMF 4×1000
CE-202606-0010,2026-06-07,Giro a propietario junio — Calle 135 # 58-45 Apto 1103,111005,,3626548,BANCO_CAJA_SOCIAL 23148712718
CE-202606-0011,2026-06-07,Giro a propietario junio — Diagonal 38 # 84-69 Apto 1004,28150505,1673880,,Giro a Camila Arango
CE-202606-0011,2026-06-07,Giro a propietario junio — Diagonal 38 # 84-69 Apto 1004,511580,6696,,GMF 4×1000
CE-202606-0011,2026-06-07,Giro a propietario junio — Diagonal 38 # 84-69 Apto 1004,111005,,1680576,BANCO_OCCIDENTE 446967661
CE-202606-0012,2026-06-07,Giro a propietario junio — Carrera 84 # 25-96 Apto 701,28150505,2985840,,Giro a Iván Darío
CE-202606-0012,2026-06-07,Giro a propietario junio — Carrera 84 # 25-96 Apto 701,511580,11943,,GMF 4×1000
CE-202606-0012,2026-06-07,Giro a propietario junio — Carrera 84 # 25-96 Apto 701,111005,,2997783,BANCO_BOGOTA 445110702
CE-202606-0013,2026-06-07,Giro a propietario junio — Carrera 143 Sur # 44-68 Local 14,28150505,5021700,,Giro a Mariana Pérez
CE-202606-0013,2026-06-07,Giro a propietario junio — Carrera 143 Sur # 44-68 Local 14,511580,20087,,GMF 4×1000
CE-202606-0013,2026-06-07,Giro a propietario junio — Carrera 143 Sur # 44-68 Local 14,111005,,5041787,BANCOLOMBIA 25607323142
CE-202606-0017,2026-06-07,Giro a propietario junio — Calle 40 # 15-19 Apto 1602,28150505,1806050,,Giro a Camila Echeverri
CE-202606-0017,2026-06-07,Giro a propietario junio — Calle 40 # 15-19 Apto 1602,511580,7224,,GMF 4×1000
CE-202606-0017,2026-06-07,Giro a propietario junio — Calle 40 # 15-19 Apto 1602,111005,,1813274,BANCOLOMBIA 65160484045
CE-202606-0022,2026-06-07,Giro a propietario junio — Calle 72 # 74-77 Apto 504,28150505,969100,,Giro a Fiduciaria del
CE-202606-0022,2026-06-07,Giro a propietario junio — Calle 72 # 74-77 Apto 504,511580,3876,,GMF 4×1000
CE-202606-0022,2026-06-07,Giro a propietario junio — Calle 72 # 74-77 Apto 504,111005,,972976,BANCOLOMBIA 28958747776
CE-202606-0023,2026-06-07,Giro a propietario junio — Calle 45B # 81-25,28150505,5157360,,Giro a Camila Arango
CE-202606-0023,2026-06-07,Giro a propietario junio — Calle 45B # 81-25,511580,20629,,GMF 4×1000
CE-202606-0023,2026-06-07,Giro a propietario junio — Calle 45B # 81-25,111005,,5177989,BANCO_OCCIDENTE 446967661
CE-202606-0024,2026-06-07,Giro a propietario junio — Diagonal 43 Bis # 37-8 Of. 202,28150505,3347800,,Giro a Mariana Pérez
CE-202606-0024,2026-06-07,Giro a propietario junio — Diagonal 43 Bis # 37-8 Of. 202,511580,13391,,GMF 4×1000
CE-202606-0024,2026-06-07,Giro a propietario junio — Diagonal 43 Bis # 37-8 Of. 202,111005,,3361191,BANCOLOMBIA 25607323142
CE-202606-0025,2026-06-07,Giro a propietario junio — Carrera 9 # 26-93 Apto 901,28150505,1365550,,Giro a Nataly Rojas
CE-202606-0025,2026-06-07,Giro a propietario junio — Carrera 9 # 26-93 Apto 901,511580,5462,,GMF 4×1000
CE-202606-0025,2026-06-07,Giro a propietario junio — Carrera 9 # 26-93 Apto 901,111005,,1371012,BANCO_BOGOTA 041562547
CE-202606-0031,2026-06-07,Giro a propietario junio — Calle 150 # 65-70 Casa 31,28150505,5550300,,Giro a Constructora Altavista
CE-202606-0031,2026-06-07,Giro a propietario junio — Calle 150 # 65-70 Casa 31,511580,22201,,GMF 4×1000
CE-202606-0031,2026-06-07,Giro a propietario junio — Calle 150 # 65-70 Casa 31,111005,,5572501,DAVIVIENDA 533431584942
CE-202606-0033,2026-06-07,Giro a propietario junio — Calle 84C # 41-35 Casa 29,28150505,3660890,,Giro a Nataly Ramírez
CE-202606-0033,2026-06-07,Giro a propietario junio — Calle 84C # 41-35 Casa 29,511580,14644,,GMF 4×1000
CE-202606-0033,2026-06-07,Giro a propietario junio — Calle 84C # 41-35 Casa 29,111005,,3675534,BANCOLOMBIA 65163145182
CE-202606-0035,2026-06-07,Giro a propietario junio — Diagonal 28 # 24-85 Apto 1402,28150505,3259700,,Giro a Gloria Inés
CE-202606-0035,2026-06-07,Giro a propietario junio — Diagonal 28 # 24-85 Apto 1402,511580,13039,,GMF 4×1000
CE-202606-0035,2026-06-07,Giro a propietario junio — Diagonal 28 # 24-85 Apto 1402,111005,,3272739,BANCO_OCCIDENTE 021462637
CE-202606-0038,2026-06-07,Giro a propietario junio — Calle 17 # 58-43 Apto 401,28150505,3973405,,Giro a Yolanda Cardona
CE-202606-0038,2026-06-07,Giro a propietario junio — Calle 17 # 58-43 Apto 401,511580,15894,,GMF 4×1000
CE-202606-0038,2026-06-07,Giro a propietario junio — Calle 17 # 58-43 Apto 401,111005,,3989299,BANCOLOMBIA 40796943881
CE-202606-0054,2026-06-07,Giro a propietario junio — Calle 6 Bis # 10-96 Local 18,28150505,8325450,,Giro a Marta Cecilia
CE-202606-0054,2026-06-07,Giro a propietario junio — Calle 6 Bis # 10-96 Local 18,511580,33302,,GMF 4×1000
CE-202606-0054,2026-06-07,Giro a propietario junio — Calle 6 Bis # 10-96 Local 18,111005,,8358752,BANCOLOMBIA 40777195918
CE-202606-0055,2026-06-07,Giro a propietario junio — Calle 28 # 42-20 Apto 1403,28150505,3169795,,Giro a Daniela Quintero
CE-202606-0055,2026-06-07,Giro a propietario junio — Calle 28 # 42-20 Apto 1403,511580,12679,,GMF 4×1000
CE-202606-0055,2026-06-07,Giro a propietario junio — Calle 28 # 42-20 Apto 1403,111005,,3182474,DAVIVIENDA 382333651123
CE-202606-0057,2026-06-07,Giro a propietario junio — Calle 22 # 77-35 Apto 1804,28150505,1517930,,Giro a Gloria Inés
CE-202606-0057,2026-06-07,Giro a propietario junio — Calle 22 # 77-35 Apto 1804,511580,6072,,GMF 4×1000
CE-202606-0057,2026-06-07,Giro a propietario junio — Calle 22 # 77-35 Apto 1804,111005,,1524002,DAVIVIENDA 233260227330
CE-202606-0068,2026-06-07,Giro a propietario junio — Avenida 41 # 29-72 Apto 102,28150505,2114400,,Giro a Nataly Ramírez
CE-202606-0068,2026-06-07,Giro a propietario junio — Avenida 41 # 29-72 Apto 102,511580,8458,,GMF 4×1000
CE-202606-0068,2026-06-07,Giro a propietario junio — Avenida 41 # 29-72 Apto 102,111005,,2122858,BANCOLOMBIA 65163145182
CE-202606-0069,2026-06-07,Giro a propietario junio — Calle 159 # 86-84 Apto 1004,28150505,2026300,,Giro a Héctor Fabio
CE-202606-0069,2026-06-07,Giro a propietario junio — Calle 159 # 86-84 Apto 1004,511580,8105,,GMF 4×1000
CE-202606-0069,2026-06-07,Giro a propietario junio — Calle 159 # 86-84 Apto 1004,111005,,2034405,BBVA 427688673449
CE-202606-0072,2026-06-07,Giro a propietario junio — Transversal 11 # 41-72 Apto 502,28150505,3125150,,Giro a Constructora Altavista
CE-202606-0072,2026-06-07,Giro a propietario junio — Transversal 11 # 41-72 Apto 502,511580,12501,,GMF 4×1000
CE-202606-0072,2026-06-07,Giro a propietario junio — Transversal 11 # 41-72 Apto 502,111005,,3137651,DAVIVIENDA 533431584942
CE-202606-0073,2026-06-07,Giro a propietario junio — Carrera 61A # 98-95 Local 18,28150505,5609760,,Giro a Felipe Ospina
CE-202606-0073,2026-06-07,Giro a propietario junio — Carrera 61A # 98-95 Local 18,511580,22439,,GMF 4×1000
CE-202606-0073,2026-06-07,Giro a propietario junio — Carrera 61A # 98-95 Local 18,111005,,5632199,DAVIVIENDA 490654387374
RC-202606-0074,2026-06-08,Recaudo canon junio — Avenida 44 # 29-91 Apto 102,111005,2580000,,Pago de Héctor Fabio
RC-202606-0074,2026-06-08,Recaudo canon junio — Avenida 44 # 29-91 Apto 102,28150505,,2150000,Canon
RC-202606-0074,2026-06-08,Recaudo canon junio — Avenida 44 # 29-91 Apto 102,28150510,,430000,Cuota de administración
CI-202606-0074,2026-06-08,Comisión 9% junio — Avenida 44 # 29-91 Apto 102,28150505,230265,,Descuento de comisión e IVA
CI-202606-0074,2026-06-08,Comisión 9% junio — Avenida 44 # 29-91 Apto 102,415510,,193500,Comisión de administración
CI-202606-0074,2026-06-08,Comisión 9% junio — Avenida 44 # 29-91 Apto 102,240805,,36765,IVA 19 % sobre la comisión
CE-202606-0039,2026-06-08,Giro a propietario junio — Carrera 161 # 4-10 Casa 27,28150505,6514560,,Giro a Camilo Arango
CE-202606-0039,2026-06-08,Giro a propietario junio — Carrera 161 # 4-10 Casa 27,511580,26058,,GMF 4×1000
CE-202606-0039,2026-06-08,Giro a propietario junio — Carrera 161 # 4-10 Casa 27,111005,,6540618,NEQUI 3500194047
CE-202606-0050,2026-06-08,Giro a propietario junio — Calle 4 # 45-16,28150505,2714400,,Giro a Felipe Castro
CE-202606-0050,2026-06-08,Giro a propietario junio — Calle 4 # 45-16,511580,10858,,GMF 4×1000
CE-202606-0050,2026-06-08,Giro a propietario junio — Calle 4 # 45-16,111005,,2725258,NEQUI 3118260159
CE-202606-0087,2026-06-08,Aseo y vigilancia del edificio junio,513505,890000,,
CE-202606-0087,2026-06-08,Aseo y vigilancia del edificio junio,111005,,890000,
CA-202606-0001,2026-06-08,Pago administración junio — Calle 75 # 57-31 Apto 802,28150510,550000,,Cuota de administración
CA-202606-0001,2026-06-08,Pago administración junio — Calle 75 # 57-31 Apto 802,111005,,550000,Transferencia a la copropiedad
CA-202606-0002,2026-06-08,Pago administración junio — Carrera 39D # 12-92 Apto 1003,28150510,620000,,Cuota de administración
CA-202606-0002,2026-06-08,Pago administración junio — Carrera 39D # 12-92 Apto 1003,111005,,620000,Transferencia a la copropiedad
CA-202606-0006,2026-06-08,Pago administración junio — Carrera 4 # 70-54 Of. 1505,28150510,580000,,Cuota de administración
CA-202606-0006,2026-06-08,Pago administración junio — Carrera 4 # 70-54 Of. 1505,111005,,580000,Transferencia a la copropiedad
CA-202606-0007,2026-06-08,Pago administración junio — Calle 135 # 58-45 Apto 1103,28150510,530000,,Cuota de administración
CA-202606-0007,2026-06-08,Pago administración junio — Calle 135 # 58-45 Apto 1103,111005,,530000,Transferencia a la copropiedad
CA-202606-0008,2026-06-08,Pago administración junio — Diagonal 38 # 84-69 Apto 1004,28150510,630000,,Cuota de administración
CA-202606-0008,2026-06-08,Pago administración junio — Diagonal 38 # 84-69 Apto 1004,111005,,630000,Transferencia a la copropiedad
CA-202606-0009,2026-06-08,Pago administración junio — Carrera 84 # 25-96 Apto 701,28150510,410000,,Cuota de administración
CA-202606-0009,2026-06-08,Pago administración junio — Carrera 84 # 25-96 Apto 701,111005,,410000,Transferencia a la copropiedad
CA-202606-0010,2026-06-08,Pago administración junio — Carrera 143 Sur # 44-68 Local 14,28150510,80000,,Cuota de administración
CA-202606-0010,2026-06-08,Pago administración junio — Carrera 143 Sur # 44-68 Local 14,111005,,80000,Transferencia a la copropiedad
CA-202606-0014,2026-06-08,Pago administración junio — Calle 40 # 15-19 Apto 1602,28150510,480000,,Cuota de administración
CA-202606-0014,2026-06-08,Pago administración junio — Calle 40 # 15-19 Apto 1602,111005,,480000,Transferencia a la copropiedad
CA-202606-0019,2026-06-08,Pago administración junio — Calle 72 # 74-77 Apto 504,28150510,310000,,Cuota de administración
CA-202606-0019,2026-06-08,Pago administración junio — Calle 72 # 74-77 Apto 504,111005,,310000,Transferencia a la copropiedad
CA-202606-0020,2026-06-08,Pago administración junio — Diagonal 43 Bis # 37-8 Of. 202,28150510,630000,,Cuota de administración
CA-202606-0020,2026-06-08,Pago administración junio — Diagonal 43 Bis # 37-8 Of. 202,111005,,630000,Transferencia a la copropiedad
CA-202606-0021,2026-06-08,Pago administración junio — Carrera 9 # 26-93 Apto 901,28150510,210000,,Cuota de administración
CA-202606-0021,2026-06-08,Pago administración junio — Carrera 9 # 26-93 Apto 901,111005,,210000,Transferencia a la copropiedad
CA-202606-0028,2026-06-08,Pago administración junio — Diagonal 28 # 24-85 Apto 1402,28150510,260000,,Cuota de administración
CA-202606-0028,2026-06-08,Pago administración junio — Diagonal 28 # 24-85 Apto 1402,111005,,260000,Transferencia a la copropiedad
CA-202606-0031,2026-06-08,Pago administración junio — Calle 17 # 58-43 Apto 401,28150510,370000,,Cuota de administración
CA-202606-0031,2026-06-08,Pago administración junio — Calle 17 # 58-43 Apto 401,111005,,370000,Transferencia a la copropiedad
CA-202606-0043,2026-06-08,Pago administración junio — Calle 6 Bis # 10-96 Local 18,28150510,460000,,Cuota de administración
CA-202606-0043,2026-06-08,Pago administración junio — Calle 6 Bis # 10-96 Local 18,111005,,460000,Transferencia a la copropiedad
CA-202606-0044,2026-06-08,Pago administración junio — Calle 28 # 42-20 Apto 1403,28150510,500000,,Cuota de administración
CA-202606-0044,2026-06-08,Pago administración junio — Calle 28 # 42-20 Apto 1403,111005,,500000,Transferencia a la copropiedad
CA-202606-0046,2026-06-08,Pago administración junio — Calle 22 # 77-35 Apto 1804,28150510,550000,,Cuota de administración
CA-202606-0046,2026-06-08,Pago administración junio — Calle 22 # 77-35 Apto 1804,111005,,550000,Transferencia a la copropiedad
CA-202606-0056,2026-06-08,Pago administración junio — Avenida 41 # 29-72 Apto 102,28150510,450000,,Cuota de administración
CA-202606-0056,2026-06-08,Pago administración junio — Avenida 41 # 29-72 Apto 102,111005,,450000,Transferencia a la copropiedad
CA-202606-0057,2026-06-08,Pago administración junio — Calle 159 # 86-84 Apto 1004,28150510,250000,,Cuota de administración
CA-202606-0057,2026-06-08,Pago administración junio — Calle 159 # 86-84 Apto 1004,111005,,250000,Transferencia a la copropiedad
CA-202606-0059,2026-06-08,Pago administración junio — Transversal 11 # 41-72 Apto 502,28150510,330000,,Cuota de administración
CA-202606-0059,2026-06-08,Pago administración junio — Transversal 11 # 41-72 Apto 502,111005,,330000,Transferencia a la copropiedad
CA-202606-0060,2026-06-08,Pago administración junio — Carrera 61A # 98-95 Local 18,28150510,30000,,Cuota de administración
CA-202606-0060,2026-06-08,Pago administración junio — Carrera 61A # 98-95 Local 18,111005,,30000,Transferencia a la copropiedad
CE-202606-0042,2026-06-09,Giro a propietario junio — Calle 53 # 60-72 Apto 1103,28150505,1764360,,Giro a Édgar Cardona
CE-202606-0042,2026-06-09,Giro a propietario junio — Calle 53 # 60-72 Apto 1103,511580,7057,,GMF 4×1000
CE-202606-0042,2026-06-09,Giro a propietario junio — Calle 53 # 60-72 Apto 1103,111005,,1771417,BANCO_POPULAR 170824366
CE-202606-0045,2026-06-09,Giro a propietario junio — Carrera 56 # 50-62 Apto 906,28150505,792900,,Giro a Inmobiliaria Santa
CE-202606-0045,2026-06-09,Giro a propietario junio — Carrera 56 # 50-62 Apto 906,511580,3172,,GMF 4×1000
CE-202606-0045,2026-06-09,Giro a propietario junio — Carrera 56 # 50-62 Apto 906,111005,,796072,BANCO_BOGOTA 263767795
CE-202606-0046,2026-06-09,Giro a propietario junio — Carrera 75 # 86-74 Of. 1104,28150505,4625250,,Giro a Iván Darío
CE-202606-0046,2026-06-09,Giro a propietario junio — Carrera 75 # 86-74 Of. 1104,511580,18501,,GMF 4×1000
CE-202606-0046,2026-06-09,Giro a propietario junio — Carrera 75 # 86-74 Of. 1104,111005,,4643751,ITAU 546764206488
CE-202606-0052,2026-06-09,Giro a propietario junio — Carrera 67 # 27-60 Bodega 5,28150505,3215650,,Giro a Patrimonio Familiar
CE-202606-0052,2026-06-09,Giro a propietario junio — Carrera 67 # 27-60 Bodega 5,511580,12863,,GMF 4×1000
CE-202606-0052,2026-06-09,Giro a propietario junio — Carrera 67 # 27-60 Bodega 5,111005,,3228513,NEQUI 6022082115
CE-202606-0053,2026-06-09,Giro a propietario junio — Carrera 28 # 5-19 Apto 1003,28150505,1311960,,Giro a Felipe Castro
CE-202606-0053,2026-06-09,Giro a propietario junio — Carrera 28 # 5-19 Apto 1003,511580,5248,,GMF 4×1000
CE-202606-0053,2026-06-09,Giro a propietario junio — Carrera 28 # 5-19 Apto 1003,111005,,1317208,NEQUI 3118260159
CE-202606-0059,2026-06-09,Giro a propietario junio — Calle 39 # 85-82 Local 17,28150505,4704960,,Giro a Luis Alberto
CE-202606-0059,2026-06-09,Giro a propietario junio — Calle 39 # 85-82 Local 17,511580,18820,,GMF 4×1000
CE-202606-0059,2026-06-09,Giro a propietario junio — Calle 39 # 85-82 Local 17,111005,,4723780,BANCO_CAJA_SOCIAL 23148712718
CE-202606-0060,2026-06-09,Giro a propietario junio — Diagonal 64B # 16-66 Apto 604,28150505,3166800,,Giro a Juan Camilo
CE-202606-0060,2026-06-09,Giro a propietario junio — Diagonal 64B # 16-66 Apto 604,511580,12667,,GMF 4×1000
CE-202606-0060,2026-06-09,Giro a propietario junio — Diagonal 64B # 16-66 Apto 604,111005,,3179467,BANCO_OCCIDENTE 900355674
CE-202606-0075,2026-06-09,Giro a propietario junio — Carrera 52 # 95-89 Apto 104,28150505,2081040,,Giro a Luis Alberto
CE-202606-0075,2026-06-09,Giro a propietario junio — Carrera 52 # 95-89 Apto 104,511580,8324,,GMF 4×1000
CE-202606-0075,2026-06-09,Giro a propietario junio — Carrera 52 # 95-89 Apto 104,111005,,2089364,BANCO_CAJA_SOCIAL 23148712718
RC-202606-0014,2026-06-10,Recaudo canon junio — Avenida 10 # 59-90 Local 7,111005,9290000,,Pago de Juliana Arango
RC-202606-0014,2026-06-10,Recaudo canon junio — Avenida 10 # 59-90 Local 7,28150505,,8950000,Canon
RC-202606-0014,2026-06-10,Recaudo canon junio — Avenida 10 # 59-90 Local 7,28150510,,340000,Cuota de administración
RC-202606-0016,2026-06-10,Recaudo canon junio — Calle 59 # 91-2 Apto 1404,111005,1760000,,Pago de Ana María
RC-202606-0016,2026-06-10,Recaudo canon junio — Calle 59 # 91-2 Apto 1404,28150505,,1500000,Canon
RC-202606-0016,2026-06-10,Recaudo canon junio — Calle 59 # 91-2 Apto 1404,28150510,,260000,Cuota de administración
RC-202606-0030,2026-06-10,Recaudo canon junio — Carrera 23 # 10-81 Apto 1603,111005,5650000,,Pago de Julián David
RC-202606-0030,2026-06-10,Recaudo canon junio — Carrera 23 # 10-81 Apto 1603,28150505,,5200000,Canon
RC-202606-0030,2026-06-10,Recaudo canon junio — Carrera 23 # 10-81 Apto 1603,28150510,,450000,Cuota de administración
RC-202606-0032,2026-06-10,Recaudo canon junio — Diagonal 6 # 64-85 Of. 1205,111005,2600000,,Pago de Nicolás Henao
RC-202606-0032,2026-06-10,Recaudo canon junio — Diagonal 6 # 64-85 Of. 1205,28150505,,2100000,Canon
RC-202606-0032,2026-06-10,Recaudo canon junio — Diagonal 6 # 64-85 Of. 1205,28150510,,500000,Cuota de administración
RC-202606-0034,2026-06-10,Recaudo canon junio — Calle 23 # 70-72 Of. 401,111005,2930000,,Pago de Rodrigo Vargas
RC-202606-0034,2026-06-10,Recaudo canon junio — Calle 23 # 70-72 Of. 401,28150505,,2650000,Canon
RC-202606-0034,2026-06-10,Recaudo canon junio — Calle 23 # 70-72 Of. 401,28150510,,280000,Cuota de administración
RC-202606-0058,2026-06-10,Recaudo canon junio — Carrera 21 # 3-38 Local 18,111005,6760000,,Pago de Camila García
RC-202606-0058,2026-06-10,Recaudo canon junio — Carrera 21 # 3-38 Local 18,28150505,,6750000,Canon
RC-202606-0058,2026-06-10,Recaudo canon junio — Carrera 21 # 3-38 Local 18,28150510,,10000,Cuota de administración
RC-202606-0070,2026-06-10,Recaudo canon junio — Calle 51 # 75-6,111005,4700000,,Pago de Wilmer García
RC-202606-0070,2026-06-10,Recaudo canon junio — Calle 51 # 75-6,28150505,,4700000,Canon
RC-202606-0071,2026-06-10,Recaudo canon junio — Transversal 45 # 41-2 Apto 1503,111005,2870000,,Pago de Beatriz Elena
RC-202606-0071,2026-06-10,Recaudo canon junio — Transversal 45 # 41-2 Apto 1503,28150505,,2600000,Canon
RC-202606-0071,2026-06-10,Recaudo canon junio — Transversal 45 # 41-2 Apto 1503,28150510,,270000,Cuota de administración
CI-202606-0014,2026-06-10,Comisión 10% junio — Avenida 10 # 59-90 Local 7,28150505,1065050,,Descuento de comisión e IVA
CI-202606-0014,2026-06-10,Comisión 10% junio — Avenida 10 # 59-90 Local 7,415510,,895000,Comisión de administración
CI-202606-0014,2026-06-10,Comisión 10% junio — Avenida 10 # 59-90 Local 7,240805,,170050,IVA 19 % sobre la comisión
CI-202606-0016,2026-06-10,Comisión 10% junio — Calle 59 # 91-2 Apto 1404,28150505,178500,,Descuento de comisión e IVA
CI-202606-0016,2026-06-10,Comisión 10% junio — Calle 59 # 91-2 Apto 1404,415510,,150000,Comisión de administración
CI-202606-0016,2026-06-10,Comisión 10% junio — Calle 59 # 91-2 Apto 1404,240805,,28500,IVA 19 % sobre la comisión
CI-202606-0030,2026-06-10,Comisión 10% junio — Carrera 23 # 10-81 Apto 1603,28150505,618800,,Descuento de comisión e IVA
CI-202606-0030,2026-06-10,Comisión 10% junio — Carrera 23 # 10-81 Apto 1603,415510,,520000,Comisión de administración
CI-202606-0030,2026-06-10,Comisión 10% junio — Carrera 23 # 10-81 Apto 1603,240805,,98800,IVA 19 % sobre la comisión
CI-202606-0032,2026-06-10,Comisión 10% junio — Diagonal 6 # 64-85 Of. 1205,28150505,249900,,Descuento de comisión e IVA
CI-202606-0032,2026-06-10,Comisión 10% junio — Diagonal 6 # 64-85 Of. 1205,415510,,210000,Comisión de administración
CI-202606-0032,2026-06-10,Comisión 10% junio — Diagonal 6 # 64-85 Of. 1205,240805,,39900,IVA 19 % sobre la comisión
CI-202606-0034,2026-06-10,Comisión 10% junio — Calle 23 # 70-72 Of. 401,28150505,315350,,Descuento de comisión e IVA
CI-202606-0034,2026-06-10,Comisión 10% junio — Calle 23 # 70-72 Of. 401,415510,,265000,Comisión de administración
CI-202606-0034,2026-06-10,Comisión 10% junio — Calle 23 # 70-72 Of. 401,240805,,50350,IVA 19 % sobre la comisión
CI-202606-0058,2026-06-10,Comisión 9% junio — Carrera 21 # 3-38 Local 18,28150505,722925,,Descuento de comisión e IVA
CI-202606-0058,2026-06-10,Comisión 9% junio — Carrera 21 # 3-38 Local 18,415510,,607500,Comisión de administración
CI-202606-0058,2026-06-10,Comisión 9% junio — Carrera 21 # 3-38 Local 18,240805,,115425,IVA 19 % sobre la comisión
CI-202606-0070,2026-06-10,Comisión 10% junio — Calle 51 # 75-6,28150505,559300,,Descuento de comisión e IVA
CI-202606-0070,2026-06-10,Comisión 10% junio — Calle 51 # 75-6,415510,,470000,Comisión de administración
CI-202606-0070,2026-06-10,Comisión 10% junio — Calle 51 # 75-6,240805,,89300,IVA 19 % sobre la comisión
CI-202606-0071,2026-06-10,Comisión 10% junio — Transversal 45 # 41-2 Apto 1503,28150505,309400,,Descuento de comisión e IVA
CI-202606-0071,2026-06-10,Comisión 10% junio — Transversal 45 # 41-2 Apto 1503,415510,,260000,Comisión de administración
CI-202606-0071,2026-06-10,Comisión 10% junio — Transversal 45 # 41-2 Apto 1503,240805,,49400,IVA 19 % sobre la comisión
CE-202606-0074,2026-06-10,Giro a propietario junio — Avenida 44 # 29-91 Apto 102,28150505,1919735,,Giro a Constructora Altavista
CE-202606-0074,2026-06-10,Giro a propietario junio — Avenida 44 # 29-91 Apto 102,511580,7679,,GMF 4×1000
CE-202606-0074,2026-06-10,Giro a propietario junio — Avenida 44 # 29-91 Apto 102,111005,,1927414,DAVIVIENDA 533431584942
CE-202606-0084,2026-06-10,Telefonía e internet junio,513535,219900,,
CE-202606-0084,2026-06-10,Telefonía e internet junio,111005,,219900,
CA-202606-0033,2026-06-10,Pago administración junio — Calle 53 # 60-72 Apto 1103,28150510,480000,,Cuota de administración
CA-202606-0033,2026-06-10,Pago administración junio — Calle 53 # 60-72 Apto 1103,111005,,480000,Transferencia a la copropiedad
CA-202606-0035,2026-06-10,Pago administración junio — Carrera 56 # 50-62 Apto 906,28150510,170000,,Cuota de administración
CA-202606-0035,2026-06-10,Pago administración junio — Carrera 56 # 50-62 Apto 906,111005,,170000,Transferencia a la copropiedad
CA-202606-0036,2026-06-10,Pago administración junio — Carrera 75 # 86-74 Of. 1104,28150510,680000,,Cuota de administración
